"","ID","knownState","jp_normed","htv","rajp","delt_d","divenum","stime","ad"
"1","24",1,11.5702273967568,0.259546920737169,-0.0994624213135371,1.25570933745702,24,1597923589.51,3.53137510470712
"2","24",7,9.21472827323464,0.201983359109,-0.0017535407420274,2.0555779072213,24,1597923591.51,5.58695301192842
"3","24",7,5.6131320659632,0.107735758247819,-0.0336109357900067,2.06163685535044,24,1597923593.51,7.64858986727886
"4","24",7,4.292671479727,0.116894045250447,0.029004848885218,1.82526268735795,24,1597923595.51,9.47385255463681
"5","24",7,2.24975119083142,0.0615709229464487,-0.016740612819026,1.93619081044559,24,1597923597.51,11.4100433650824
"6","24",7,3.08613108853642,0.120675524270171,-0.0109213462658864,1.9180777341275,24,1597923599.51,13.3281210992099
"7","24",7,3.38287359452689,0.0705879154181621,-0.378178434435586,1.3261101450938,24,1597923601.51,14.6542312443037
"8","24",7,2.84228518705125,0.0884065465862824,-0.288402406291341,0.597253957745901,24,1597923603.51,15.2514852020496
"9","24",7,3.67532502998253,0.127066498383639,-0.235490019501129,0.228210483629999,24,1597923605.51,15.4796956856796
"10","24",7,2.88148626142774,0.0464875345734781,-0.138363793350302,0.195252089113501,24,1597923607.51,15.6749477747931
"11","24",7,3.73270008486068,0.0680704970504691,-0.14989537342674,0.1585899890935,24,1597923609.51,15.8335377638866
"12","24",7,2.3443233469149,0.0792071191675241,-0.14374378138485,0.183052564345399,24,1597923611.51,16.016590328232
"13","24",7,1.88986305784368,0.128498334968137,-0.179454612155806,0.609363690782903,24,1597923613.51,16.6259540190149
"14","24",7,1.17628145784639,0.0532259087585938,-0.110551484971035,1.1003417731496,24,1597923615.51,17.7262957921645
"15","24",7,1.48355154788296,0.0468919067776976,-0.14710594990965,1.1657715395502,24,1597923617.51,18.8920673317147
"16","24",7,1.12681732578941,0.04194691492588,-0.134890987556842,0.929841705282801,24,1597923619.51,19.8219090369975
"17","24",7,0.864132402564614,0.0448904830540111,-0.195301685819949,0.775067645073602,24,1597923621.51,20.5969766820711
"18","24",7,0.844159023733665,0.0497989514467041,-0.273086497639588,0.791118322796898,24,1597923623.51,21.388095004868
"19","24",7,0.680180696732778,0.0491307126126115,-0.281124115955072,0.8999990645016,24,1597923625.51,22.2880940693696
"20","24",7,1.00246676245719,0.0357754672618744,-0.288453156056194,1.036001367814,24,1597923627.51,23.3240954371836
"21","24",7,0.562792587239584,0.0529921175157844,-0.275388190233424,1.0766728722246,24,1597923629.51,24.4007683094082
"22","24",7,1.02192229113261,0.0406629348384873,-0.272825989860987,1.1432548599198,24,1597923631.51,25.544023169328
"23","24",7,1.15251927832135,0.022209500089013,-0.0817725686489948,1.2874888198753,24,1597923633.51,26.8315119892033
"24","24",7,0.963011403239289,0.0626190495063048,0.00350732633299727,1.3570200411947,24,1597923635.51,28.188532030398
"25","24",7,9.1789497322861,0.0480311774370077,0.101236646474705,1.4402781991788,24,1597923637.51,29.6288102295768
"26","24",7,2.35626786314555,0.0694556998235654,0.135367546180661,1.2905548660918,24,1597923639.51,30.9193650956686
"27","24",7,1.42212199973398,0.167356134159423,0.0487745387435591,1.4413229331624,24,1597923641.51,32.360688028831
"28","24",7,2.11469566863423,0.131468977303515,-0.0274015546708423,0.845608245742199,24,1597923643.51,33.2062962745732
"29","24",7,2.12816752528375,0.116542606461099,-0.0118297007107491,-0.463596941855897,24,1597923645.51,32.7426993327173
"30","24",7,2.31161279771459,0.11956839181925,-0.0373837031493052,-0.0172930336302031,24,1597923647.51,32.7254062990871
"31","24",7,1.37939441517386,0.0647685567229095,-0.0275628247038895,0.864585020335404,24,1597923649.51,33.5899913194225
"32","24",7,1.19285690002947,0.0396121420164044,0.0463286750882622,1.2727279393352,24,1597923651.51,34.8627192587577
"33","24",7,1.99945888434373,0.0669335238386799,-0.0313841409868331,1.4243252528501,24,1597923653.51,36.2870445116078
"34","24",7,1.97354512615214,0.12651378107614,-0.126270205577931,1.74064338878119,24,1597923655.51,38.027687900389
"35","24",7,4.82061291396705,0.131563364010354,-0.263142725448512,0.714247979224204,24,1597923657.51,38.7419358796132
"36","24",7,5.23071336853842,0.148040333298372,-0.210954785377413,-0.338719668331599,24,1597923659.51,38.4032162112816
"37","24",7,3.94644287423755,0.133138160017999,-0.24961622691843,-0.9252365454753,24,1597923661.51,37.4779796658063
"38","24",7,5.29346708557707,0.203635759429684,-0.476351421275988,-1.2302576291079,24,1597923663.51,36.2477220366984
"39","24",7,2.70578415860676,0.0324466995657859,-0.364221154620449,-1.9853493033169,24,1597923665.51,34.2623727333815
"40","24",7,1.85010856795884,0.0251876025015401,-0.463492273019585,-1.5696239867644,24,1597923667.51,32.6927487466171
"41","24",7,1.5493291945022,0.0499167511679082,-0.522885195230248,-1.183077188879,24,1597923669.51,31.5096715577381
"42","24",7,1.69300074423424,0.0545907609311636,-0.603359518740333,-0.8277480614653,24,1597923671.51,30.6819234962728
"43","24",7,1.67178294758382,0.0713999533040746,-0.672334357572511,-0.627439950354198,24,1597923673.51,30.0544835459186
"44","24",7,6.08522168436688,0.146418374110857,-0.642078548242286,-0.463982427377502,24,1597923675.51,29.5905011185411
"45","24",7,4.31157322137611,0.115194013406722,-0.709455048042957,-0.4362473625999,24,1597923677.51,29.1542537559412
"46","24",7,2.91727707455191,0.132441892107793,-0.37399495807054,-0.421811029599997,24,1597923679.51,28.7324427263412
"47","24",7,3.91168299124499,0.191472149804019,-0.167385412636514,0.882713192544198,24,1597923681.51,29.6151559188854
