"","ID","divenum","stime","logMDDD.x","logMDDD.y","knownState","label"
"66","A100a",160,2020-08-20 13:06:36,1.52906889907026,3.49025440047819,4,4
"67","A100a",162,2020-08-20 13:07:39,1.44610580022754,3.84097725501323,4,4
"68","A100a",165,2020-08-20 13:09:21,1.52811697185206,3.98123298423013,4,4
"69","A100a",169,2020-08-20 13:11:37,1.51043093472004,4.25634349293481,4,4
"70","A100a",171,2020-08-20 13:13:08,1.40781336605258,3.77541640904952,4,4
"71","A100a",173,2020-08-20 13:14:19,1.41147481231761,3.42711374323384,4,4
"72","A100a",174,2020-08-20 13:14:51,1.46395669831217,3.9483708941274,4,4
"73","A100a",176,2020-08-20 13:16:03,1.50646453397087,3.50446350908654,4,4
"74","A100a",177,2020-08-20 13:16:38,1.53240018656295,3.7402765369871,4,4
"75","A100a",180,2020-08-20 13:18:12,1.41071737308073,3.65416605296613,4,4
"76","A100a",181,2020-08-20 13:18:52,1.5370535110438,3.50121241558644,4,4
"77","A100a",184,2020-08-20 13:20:18,1.36467969589611,3.51306702357865,4,4
"78","A100a",185,2020-08-20 13:20:53,1.51255016930543,4.31183820482237,4,4
"79","A100a",192,2020-08-20 13:24:18,2.0901775167868,4.28546116996737,4,4
"80","A100a",194,2020-08-20 13:25:59,1.43973309081171,3.88346372593772,4,4
"81","A100a",196,2020-08-20 13:27:15,1.34183320360099,3.50609878058311,4,4
"82","A100a",197,2020-08-20 13:27:50,1.26243849608988,3.67616704303772,4,4
"83","A100a",202,2020-08-20 13:30:01,1.53528256105571,4.24949331846364,4,4
"84","A100a",203,2020-08-20 13:31:13,1.61576735148401,3.98743684501873,4,4
"85","A100a",204,2020-08-20 13:32:08,2.03674297654457,3.64320347812244,4,4
"86","A100a",206,2020-08-20 13:33:16,1.39774727122042,3.53428770103651,4,4
"87","A100a",208,2020-08-20 13:34:18,1.24349509671195,3.63132643763209,4,4
"88","A100a",212,2020-08-20 13:36:18,1.55080345927213,3.68687694067779,4,4
"89","A100a",213,2020-08-20 13:36:59,1.8509919750078,4.12265826121338,4,4
"90","A100a",216,2020-08-20 13:38:57,1.55743094467643,3.42830368936787,4,4
"91","A100a",217,2020-08-20 13:39:30,1.55307905497983,3.89539192436625,4,4
"92","A100a",218,2020-08-20 13:40:21,1.36857599538695,3.44475733432065,4,4
"93","A100a",219,2020-08-20 13:40:54,1.76506940539944,3.94371987073802,4,4
"94","A100a",220,2020-08-20 13:41:47,1.83678030604034,4.1602912235747,4,4
"95","A100a",222,2020-08-20 13:43:13,1.74631100567572,4.16901978764407,4,4
"96","A100a",223,2020-08-20 13:44:19,1.7355932922744,3.81085137864918,4,4
"97","A100a",224,2020-08-20 13:45:06,1.4398362855954,3.67120634735189,4,4
"98","A100a",226,2020-08-20 13:46:12,1.17855029258593,3.40736169432123,4,4
"99","A100a",227,2020-08-20 13:46:44,1.48549543223623,3.98277785325063,4,4
"100","A100a",228,2020-08-20 13:47:39,1.35484861086855,3.84667366119971,4,4
"101","A100a",230,2020-08-20 13:48:47,1.29050494743192,3.99153035398611,4,4
"102","A100a",231,2020-08-20 13:49:44,1.68592042877898,3.96694001874099,4,4
"103","A100a",236,2020-08-20 13:52:06,2.03833265798916,4.3671580030383,4,4
"104","A100a",238,2020-08-20 13:53:43,1.40471652206277,3.85739658206099,4,4
"105","A100a",241,2020-08-20 13:55:25,2.01135209802282,3.99676452895022,4,4
"106","A100a",244,2020-08-20 13:56:59,1.5602209545491,3.6356413981732,4,4
"107","A100a",245,2020-08-20 13:57:38,1.26937689989337,4.04369453950961,2,2
"108","A100b",247,2020-08-20 13:58:58,1.0765717290308,3.46444482818134,2,2
"109","A100b",249,2020-08-20 13:59:52,1.11411711925972,3.44405837730046,4,4
"110","A100b",250,2020-08-20 14:00:25,1.29004762429416,3.46348221945937,4,4
"111","A100b",252,2020-08-20 14:01:28,1.39818124961081,3.76346528625667,4,4
"112","A100b",253,2020-08-20 14:02:12,1.6913806789798,3.52586536901292,4,4
